Local time,Open,High,Low,Close,Volume
20.09.2019 06:00:00.000 GMT+0900,108.005,108.041,107.965,108.041,12009.21
20.09.2019 07:00:00.000 GMT+0900,108.040,108.041,108.011,108.018,2122.3401
20.09.2019 08:00:00.000 GMT+0900,108.018,108.067,108.002,108.067,5570.0098
20.09.2019 09:00:00.000 GMT+0900,108.066,108.086,107.923,107.970,9766.0596
20.09.2019 10:00:00.000 GMT+0900,107.971,107.976,107.896,107.914,8111.8599
20.09.2019 11:00:00.000 GMT+0900,107.913,107.963,107.909,107.922,5137.2202
20.09.2019 12:00:00.000 GMT+0900,107.922,107.932,107.896,107.906,4042.1399
20.09.2019 13:00:00.000 GMT+0900,107.907,107.907,107.803,107.842,3981.21
20.09.2019 14:00:00.000 GMT+0900,107.842,107.894,107.838,107.843,3983.21
20.09.2019 15:00:00.000 GMT+0900,107.842,107.894,107.841,107.878,7016.6899
20.09.2019 16:00:00.000 GMT+0900,107.878,107.938,107.768,107.929,10482.1104
20.09.2019 17:00:00.000 GMT+0900,107.929,107.964,107.868,107.924,8298.8096
20.09.2019 18:00:00.000 GMT+0900,107.923,108.003,107.916,107.993,6807.7998
20.09.2019 19:00:00.000 GMT+0900,107.995,108.001,107.943,107.968,5093.4199
20.09.2019 20:00:00.000 GMT+0900,107.968,107.999,107.945,107.946,5630.3301
20.09.2019 21:00:00.000 GMT+0900,107.945,107.979,107.903,107.921,7217.8999
20.09.2019 22:00:00.000 GMT+0900,107.921,107.992,107.907,107.978,11258.5303
20.09.2019 23:00:00.000 GMT+0900,107.978,108.025,107.871,107.878,10972.6699
21.09.2019 00:00:00.000 GMT+0900,107.878,107.976,107.865,107.950,11243.2197
21.09.2019 01:00:00.000 GMT+0900,107.951,107.969,107.859,107.882,6751.0298
21.09.2019 02:00:00.000 GMT+0900,107.882,107.898,107.625,107.693,19165.2891
21.09.2019 03:00:00.000 GMT+0900,107.694,107.732,107.635,107.654,11207.46
21.09.2019 04:00:00.000 GMT+0900,107.657,107.659,107.543,107.544,8258.9805
21.09.2019 05:00:00.000 GMT+0900,107.545,107.566,107.524,107.535,4377.4302
21.09.2019 06:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 07:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 08:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 09:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 10:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 11:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 12:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 13:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 14:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 15:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 16:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 17:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 18:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 19:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 20:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 21:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 22:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
21.09.2019 23:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 00:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 01:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 02:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 03:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 04:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 05:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 06:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 07:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 08:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 09:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
22.09.2019 10:00:00.000 GMT+0900,107.535,107.535,107.535,107.535,0
